TRAMO_ID,CODIGO_ESTACION,NOMBRE_ESTACION,NUCLEO_CERCANIAS,TRAMO_HORARIO,VIAJEROS_SUBIDOS,VIAJEROS_BAJADOS
MALAGA_MARIA_ZAMBRANO_1700_1730,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,17:00 - 17:30,56,100.0
MALAGA_MARIA_ZAMBRANO_1730_1800,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,17:30 - 18:00,153,81.0
MALAGA_MARIA_ZAMBRANO_1800_1830,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,18:00 - 18:30,47,116.0
MALAGA_MARIA_ZAMBRANO_1830_1900,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,18:30 - 19:00,127,66.0
MALAGA_MARIA_ZAMBRANO_1900_1930,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,19:00 - 19:30,69,82.0
MALAGA_MARIA_ZAMBRANO_1930_2000,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,19:30 - 20:00,160,49.0
MALAGA_MARIA_ZAMBRANO_2000_2030,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,20:00 - 20:30,58,67.0
MALAGA_MARIA_ZAMBRANO_2030_2100,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,20:30 - 21:00,144,35.0
MALAGA_MARIA_ZAMBRANO_2100_2130,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,21:00 - 21:30,71,36.0
MALAGA_MARIA_ZAMBRANO_2130_2200,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,21:30 - 22:00,58,21.0
MALAGA_MARIA_ZAMBRANO_2200_2230,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,22:00 - 22:30,57,31.0
MALAGA_MARIA_ZAMBRANO_2230_2300,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,22:30 - 23:00,47,11.0
MALAGA_MARIA_ZAMBRANO_2300_2330,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,23:00 - 23:30,21,10.0
MALAGA_MARIA_ZAMBRANO_2330_0000,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,23:30 - 00:00,15,29.0
VICTORIA_KENT_0000_0030,54501,VICTORIA KENT,MÁLAGA,00:00 - 00:30,2,5.0
VICTORIA_KENT_0030_0100,54501,VICTORIA KENT,MÁLAGA,00:30 - 01:00,0,4.0
VICTORIA_KENT_0500_0530,54501,VICTORIA KENT,MÁLAGA,05:00 - 05:30,10,1.0
VICTORIA_KENT_0600_0630,54501,VICTORIA KENT,MÁLAGA,06:00 - 06:30,6,0.0
VICTORIA_KENT_0630_0700,54501,VICTORIA KENT,MÁLAGA,06:30 - 07:00,25,10.0
VICTORIA_KENT_0700_0730,54501,VICTORIA KENT,MÁLAGA,07:00 - 07:30,23,68.0
VICTORIA_KENT_0730_0800,54501,VICTORIA KENT,MÁLAGA,07:30 - 08:00,63,1.0
VICTORIA_KENT_0800_0830,54501,VICTORIA KENT,MÁLAGA,08:00 - 08:30,27,49.0
VICTORIA_KENT_0830_0900,54501,VICTORIA KENT,MÁLAGA,08:30 - 09:00,61,47.0
VICTORIA_KENT_0900_0930,54501,VICTORIA KENT,MÁLAGA,09:00 - 09:30,34,45.0
VICTORIA_KENT_0930_1000,54501,VICTORIA KENT,MÁLAGA,09:30 - 10:00,74,32.0
VICTORIA_KENT_1000_1030,54501,VICTORIA KENT,MÁLAGA,10:00 - 10:30,24,16.0
VICTORIA_KENT_1030_1100,54501,VICTORIA KENT,MÁLAGA,10:30 - 11:00,24,12.0
VICTORIA_KENT_1100_1130,54501,VICTORIA KENT,MÁLAGA,11:00 - 11:30,15,43.0
VICTORIA_KENT_1130_1200,54501,VICTORIA KENT,MÁLAGA,11:30 - 12:00,82,25.0
VICTORIA_KENT_1200_1230,54501,VICTORIA KENT,MÁLAGA,12:00 - 12:30,7,22.0
VICTORIA_KENT_1230_1300,54501,VICTORIA KENT,MÁLAGA,12:30 - 13:00,42,17.0
VICTORIA_KENT_1300_1330,54501,VICTORIA KENT,MÁLAGA,13:00 - 13:30,11,50.0
VICTORIA_KENT_1330_1400,54501,VICTORIA KENT,MÁLAGA,13:30 - 14:00,66,27.0
VICTORIA_KENT_1400_1430,54501,VICTORIA KENT,MÁLAGA,14:00 - 14:30,28,81.0
VICTORIA_KENT_1430_1500,54501,VICTORIA KENT,MÁLAGA,14:30 - 15:00,105,45.0
VICTORIA_KENT_1500_1530,54501,VICTORIA KENT,MÁLAGA,15:00 - 15:30,25,72.0
VICTORIA_KENT_1530_1600,54501,VICTORIA KENT,MÁLAGA,15:30 - 16:00,88,59.0
VICTORIA_KENT_1600_1630,54501,VICTORIA KENT,MÁLAGA,16:00 - 16:30,16,12.0
VICTORIA_KENT_1630_1700,54501,VICTORIA KENT,MÁLAGA,16:30 - 17:00,50,59.0
VICTORIA_KENT_1700_1730,54501,VICTORIA KENT,MÁLAGA,17:00 - 17:30,25,25.0
VICTORIA_KENT_1730_1800,54501,VICTORIA KENT,MÁLAGA,17:30 - 18:00,64,50.0
VICTORIA_KENT_1800_1830,54501,VICTORIA KENT,MÁLAGA,18:00 - 18:30,12,33.0
VICTORIA_KENT_1830_1900,54501,VICTORIA KENT,MÁLAGA,18:30 - 19:00,64,41.0
VICTORIA_KENT_1900_1930,54501,VICTORIA KENT,MÁLAGA,19:00 - 19:30,8,45.0
VICTORIA_KENT_1930_2000,54501,VICTORIA KENT,MÁLAGA,19:30 - 20:00,46,18.0
VICTORIA_KENT_2000_2030,54501,VICTORIA KENT,MÁLAGA,20:00 - 20:30,15,50.0
VICTORIA_KENT_2030_2100,54501,VICTORIA KENT,MÁLAGA,20:30 - 21:00,47,40.0
VICTORIA_KENT_2100_2130,54501,VICTORIA KENT,MÁLAGA,21:00 - 21:30,8,22.0
VICTORIA_KENT_2130_2200,54501,VICTORIA KENT,MÁLAGA,21:30 - 22:00,44,26.0
VICTORIA_KENT_2200_2230,54501,VICTORIA KENT,MÁLAGA,22:00 - 22:30,5,14.0
VICTORIA_KENT_2230_2300,54501,VICTORIA KENT,MÁLAGA,22:30 - 23:00,13,3.0
VICTORIA_KENT_2300_2330,54501,VICTORIA KENT,MÁLAGA,23:00 - 23:30,7,9.0
VICTORIA_KENT_2330_0000,54501,VICTORIA KENT,MÁLAGA,23:30 - 00:00,11,5.0
GUADALHORCE_0000_0030,54503,GUADALHORCE,MÁLAGA,00:00 - 00:30,0,0.0
GUADALHORCE_0030_0100,54503,GUADALHORCE,MÁLAGA,00:30 - 01:00,0,0.0
GUADALHORCE_0500_0530,54503,GUADALHORCE,MÁLAGA,05:00 - 05:30,2,0.0
GUADALHORCE_0600_0630,54503,GUADALHORCE,MÁLAGA,06:00 - 06:30,0,1.0
