codigo_dea,tipo_establecimiento,tipo_titularidad,direccion_completa,direccion_via_codigo,direccion_via_nombre,direccion_portal_numero,direccion_codigo_postal,municipio_nombre,direccion_coordenada_x,direccion_coordenada_y
2018-2404,Centro educativo,Privada,"Avda Esparta 9 28232 Rozas de Madrid, Las",Avda,Esparta,9,28232,"Rozas de Madrid, Las",422294,4485064.0
2023-1012,Centro educativo,Privada,"Avda Esparta 6 28232 Rozas de Madrid, Las",Avda,Esparta,6,28232,"Rozas de Madrid, Las",422574,4485083.0
2023-569,Otros,Privada,"Calle de la Vía de Servicio de las Rozas 18 28231 Rozas de Madrid, Las",Calle,de la Vía de Servicio de las Rozas,18,28231,"Rozas de Madrid, Las",426529,4482687.0
2018-2033,Establecimiento dependiente de una Administración Pública,Pública,Avda Olímpica 36 28935 Móstoles,Avda,Olímpica,36,28935,Móstoles,424894,4464716.0
2018-2057,Establecimiento dependiente de una Administración Pública,Pública,Avda Iker Casillas 15 28935 Móstoles,Avda,Iker Casillas,15,28935,Móstoles,424897,4464219.0
2018-2099,Establecimiento dependiente de una Administración Pública,Pública,Avda Iker Casillas 40 28935 Móstoles,Avda,Iker Casillas,40,28935,Móstoles,424476,4464302.0
2024-223,Centro educativo,Privada,Avda Iker Casillas 25 28935 Móstoles,Avda,Iker Casillas,25,28935,Móstoles,424812,4464269.0
2018-2077,Establecimiento dependiente de una Administración Pública,Pública,Avda del Alcalde de Móstoles 34 28934 Móstoles,Avda,del Alcalde de Móstoles,34,28934,Móstoles,426356,4465363.0
2018-3155,Instalaciones de transporte,Pública,Avda del Alcalde de Móstoles 35 28933 Móstoles,Avda,del Alcalde de Móstoles,35,28933,Móstoles,425910,4465276.0
2023-945,Otros,Privada,Avda del Alcalde de Móstoles 8 28933 Móstoles,Avda,del Alcalde de Móstoles,8,28933,Móstoles,426974,4465156.0
2019-561,Establecimiento dependiente de una Administración Pública,Pública,Calle de Vélez Rubio 1 28033 Madrid,Calle,de Vélez Rubio,1,28033,Madrid,466429,4459327.0
2021-286,Instalaciones de transporte,Pública,Calle de Vélez Rubio 0 28033 Madrid,Calle,de Vélez Rubio,0,28033,Madrid,443812,4480870.0
2018-2266,Establecimiento dependiente de una Administración Pública,Pública,Paseo de Venezuela 2 28009 Madrid,Paseo,de Venezuela,2,28009,Madrid,442139,4474073.0
