tipo_establecimiento;tipo_titularidad;municipio_codigo;municipio_nombre;direccion_via_codigo;direccion_via_nombre;direccion_portal_numero;direccion_piso;direccion_puerta;direccion_codigo_postal;direccion_ubicacion;direccion_coordenada_x;direccion_coordenada_y;direccion_longitud;direccion_latitud;horario_acceso;codigo_dea
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de Prim;19;;;28004;Hall principal HERMANOS REVILLA SA;441202;4474824;-3,69310873444482;40,4219692726902;;2023-518
Otros;Privada;079;Madrid;CALLE;de la Princesa;23;BAJA;;28008;OCASO SA ;439453;4475376;-3,7137769519457;40,4268165010541;8-15 8-17.30;2018-141
Otros;Privada;079;Madrid;CALLE;de la Princesa;23;1ª;;28008;OCASO SA ;439453;4475376;-3,7137769519457;40,4268165010541;8-15 8-17.30;2018-142
Otros;Privada;079;Madrid;CALLE;de la Princesa;23;5ª;;28008;OCASO SA ;439453;4475376;-3,7137769519457;40,4268165010541;8-15 8-17.30;2018-143
Otros;Privada;079;Madrid;CALLE;de la Princesa;23;8ª;;28008;OCASO SA ;439453;4475376;-3,7137769519457;40,4268165010541;8-15 8-17.30;2018-144
Instalaciones de transporte;Pública;079;Madrid;CALLE;de la Princesa;56;;;28008;DENTRO DE LA ESTACIÓN ARGÜELLES ANDÉN II LÍNEA 4;439275;4475767;-3,715912554064;40,4303258230905;DE 6:00 A 1:30 H;2018-2786
Instalaciones de transporte;Pública;079;Madrid;CALLE;de la Princesa;23;;;28008;DENTRO ESTACIÓN VENTURA RODRIGUEZ EN VESTIBULO;439456;4475391;-3,71374301657714;40,4269518459233;;2018-2944
Instalaciones de transporte;Pública;079;Madrid;CALLE;de la Princesa;56;;;28008;DENTRO ESTACION METRO DE ARGUELLES VESTIBULO DE ALBERTO AGUILERA;439275;4475767;-3,715912554064;40,4303258230905;24 HORAS;2018-2830
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;079;Madrid;CALLE;de la Princesa;47;B;;28008;PLANTA BAJA JUNTO A ASCENSORES EL CORTE INGLÉS PRINCESA;439256;4475738;-3,71613376520114;40,430063191484;;2019-98
Otros;Privada;079;Madrid;CALLE;de la Princesa;25;4;;28008;4ª PLANTA ;439435;4475409;-3,71399227855991;40,4271124692004;;2019-2420
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;CALLE;de la Princesa;5;1;;28008;HALL PRINCIPAL PLANTA BAJA JUNTO ARCHIVOS ;439520;4475224;-3,71297270071452;40,4254520918955;;2019-2421
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;079;Madrid;CALLE;de la Princesa;56;;;28008;EL CORTE INGLÉS DE PRINCESA ;439298;4475744;-3,71563922108516;40,4301203079985;;2019-94
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;079;Madrid;CALLE;de la Princesa;47;BAJA;;28008;JUNTO A ASCENSORES EL CORTE INGLES PRINCESA;439253;4475736;-3,71616893957473;40,4300449555541;;2019-85
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;079;Madrid;CALLE;de la Princesa;56;;;28008;EL CORTE INGLÉS PRINCESA ;439298;4475744;-3,71563922108516;40,4301203079985;;2019-93
Otros;Privada;079;Madrid;CALLE;de la Princesa;20;;;28008;TUNEL DE SERVICIO / RECEPCIÓN ;439546;4475459;-3,71268856579796;40,4275709646091;;2020-267
Instalaciones de transporte;Pública;079;Madrid;CALLE;de la Princesa;56;;;28008;DENTRO DE LA EST. DE ARGUELLES, EN PASILLO ACCESO A ANDENES DE LÍ NEA 6;439275;4475767;-3,715912554064;40,4303258230905;24h;2020-177
